Worker 1, Worker 2, Worker 3
3.8918202981106265,3.2188758248682006,4.795790545596741,
4.0327668114253985,2.167373276902868,4.384548144352727,
4.143888744407544,0.4286291336515655,3.958969561498783,
4.210039413429579,-3.5328734459687117,3.639702681778576,
4.250122220932352,-1.411910907928254,3.4118087735907077,
4.274663192741819,-0.19489112007804515,3.255674512935833,
4.289782535081295,0.3044976807416878,3.1519897681196967,
4.299132765357661,0.5621404898699909,3.0846522654423945,
4.304928701524297,0.7071676408867607,3.041579547163348,
4.308526603125982,0.7923716648043104,3.0143029047668852,
4.3107620352576,0.843612042757223,2.99714108622844,
4.312151710848786,0.8748448409810133,2.9863878181094727,
4.313015910806964,0.8940352631315172,2.979667598420094,
4.313553446824048,0.9058837004567293,2.975474703394437,
4.313887840779766,0.9132207920789702,2.97286134763429,
4.314095879916398,0.9177725462067691,2.9712335344920215,
4.31422531556956,0.9205995294460507,2.970220003914424,
4.314305849081816,0.9223565266648455,2.9695891033471797,
4.314355957186198,0.9234489908893962,2.9691964425279718,
4.314387134928674,0.9241284453608809,2.968952081327456,
4.314406534167593,0.9245511005641315,2.968800019288704,
4.314418604710177,0.924814040952676,2.9687053970737494,
4.314426115233241,0.9249776308606774,2.968646518769466,
4.3144307884333575,0.9250794133839919,2.9686098825053198,
4.314433696196808,0.9251427421177111,2.968587086268921,
4.314435505469711,0.9251821456511204,2.968572901812914,
4.31443663123869,0.925206663013446,2.9685640758784047,
4.314437331716847,0.9252219181094316,2.9685585841661633,
4.314437767569799,0.9252314101104311,2.9685551670931587,
4.314438038767142,0.9252373162216501,2.9685530409114538,
4.314438207512137,0.925240991126495,2.9685517179528076,
4.314438312509017,0.9252432777305462,2.9685508947780974,
4.314438377840405,0.9252447005050812,2.9685503825803288,
4.314438418491045,0.9252455857865033,2.9685500638794284,
4.314438443784778,0.9252461366280794,2.9685498655766205,
4.314438459523099,0.9252464793738719,2.968549742188197,
4.314438469315832,0.9252466926378913,2.968549665413174,
4.314438475409089,0.9252468253354912,2.9685496176420476,
4.314438479200448,0.9252469079028823,2.96854958791779,
4.314438481559517,0.9252469592781463,2.9685495694226964,
4.314438483027381,0.9252469912449771,2.968549557914638,
4.314438483940719,0.9252470111354494,2.968549550754068,
4.314438484509018,0.9252470235117433,2.9685495462986027,
4.3144384848626265,0.9252470312125478,2.9685495435263127,
4.31443848508265,0.92524703600416,2.9685495418013326,
4.3144384852195525,0.9252470389856073,2.9685495407280116,
4.314438485304737,0.9252470408407304,2.968549540060167,
4.314438485357741,0.9252470419950292,2.9685495396446195,
4.3144384853907205,0.9252470427132589,2.968549539386057,
4.314438485411242,0.9252470431601578,2.9685495392251733,
