Loss, Weight 1, Weight 2, Weight 3, Weight 4, Weight 5
3.9318256327243257,0.25,0.25,0.25,0.25,0.25,
3.855274860357632,0.25,0.25,0.25,0.25,0.25,
3.8646589280733625,0.25,0.25,0.25,0.25,0.25,
3.866848772957362,0.25,0.25,0.25,0.25,0.25,
3.867216522179629,0.25,0.25,0.25,0.25,0.25,
3.867275805632858,0.25,0.25,0.25,0.25,0.25,
3.8672853023359437,0.25,0.25,0.25,0.25,0.25,
3.8672868220989915,0.25,0.25,0.25,0.25,0.25,
3.867287065268517,0.25,0.25,0.25,0.25,0.25,
3.8672871041758317,0.25,0.25,0.25,0.25,0.25,
3.8672871104010067,0.25,0.25,0.25,0.25,0.25,
3.867287111397035,0.25,0.25,0.25,0.25,0.25,
3.8672871115563994,0.25,0.25,0.25,0.25,0.25,
3.8672871115818976,0.25,0.25,0.25,0.25,0.25,
3.8672871115859775,0.25,0.25,0.25,0.25,0.25,
3.8672871115866303,0.25,0.25,0.25,0.25,0.25,
3.8672871115867347,0.25,0.25,0.25,0.25,0.25,
3.8672871115867515,0.25,0.25,0.25,0.25,0.25,
3.867287111586754,0.25,0.25,0.25,0.25,0.25,
3.8672871115867546,0.25,0.25,0.25,0.25,0.25,
3.8672871115867546,0.25,0.25,0.25,0.25,0.25,
3.8672871115867546,0.25,0.25,0.25,0.25,0.25,
3.8672871115867546,0.25,0.25,0.25,0.25,0.25,
3.8672871115867546,0.25,0.25,0.25,0.25,0.25,
3.8672871115867546,0.25,0.25,0.25,0.25,0.25,
3.8672871115867546,0.25,0.25,0.25,0.25,0.25,
3.8672871115867546,0.25,0.25,0.25,0.25,0.25,
3.8672871115867546,0.25,0.25,0.25,0.25,0.25,
3.8672871115867546,0.25,0.25,0.25,0.25,0.25,
3.8672871115867546,0.25,0.25,0.25,0.25,0.25,
3.8672871115867546,0.25,0.25,0.25,0.25,0.25,
3.8672871115867546,0.25,0.25,0.25,0.25,0.25,
3.8672871115867546,0.25,0.25,0.25,0.25,0.25,
3.8672871115867546,0.25,0.25,0.25,0.25,0.25,
3.8672871115867546,0.25,0.25,0.25,0.25,0.25,
